Description,TotalSalesDollars,ProfitMargin
Beyond Svgn Bl,384.11,69.93048866210201
Bieler Pere et Fils Rose,293.71999999999997,43.61977393435925
Big Claw White,389.7,67.51347190146268
Bigi Orvieto Clsc Vendemmia,779.35,63.55424392121639
Billecart-Salmon Blanc de Bl,5471.24,48.402921458389685
Billette Bousquet Prov Rose,2062.2799999999997,60.036464495606815
Binyamina Cab Svgn,4560.64,52.13347249508842
Binyamina Chard,3347.34,57.87729958713486
Biokult Gruner Veltliner,559.6,59.17083631165118
Bird Dog Hot Cinnamon Whisky,305.82,62.12477928193055
Bird Dog Maple Whiskey,3484.5599999999995,63.29809215510711
Bisol Crede Prosseco Super V,505.77,65.88172489471499
Bitch Vodka,1825.1699999999998,68.57936520981607
Bitter Truth Orange Bitters,5157.419999999999,33.27128680619377
Black & White Scotch,6612.549999999999,56.69749189042048
Black Box Moscato B/B,239.84,83.55570380253502
Black Stallion Chard Napa Vy,4765.02,49.32822947227924
Black Warrior Kuro Shochu,359.88,21.873957985995325
Blackbird Vyds Arise Red,6517.77,64.32951761108477
Blackstone Delectable Red,8925.63,68.70741897210617
Blackstone Syrah Cal,2934.61,61.88488419244806
Blackstone Winemakers Malbec,718.8,90.23233166388425
Blackstone Znfdl Cal,7238.62,65.65629912883946
Bleu de Mer Blanc,9608.5,7.618358744861323
Bliss Cab Svgn,727.48,52.889426513443674
Bliss Merlot,335.76,66.44031451036454
Blood Orange Liqueur,4593.33,91.30587177494323
Bloom Gin,6267.15,91.29604365620737
Blossom Hill Merlot,1318.8,52.993630573248396
Blossom Hill Wh Znfdl,461.58,53.91914727674509
Blue Chair Bay Coc Spced Rum,1234.35,66.65451452181308
Blue Chair Bay CocSpc Cream,4961.08,91.36962113088279
Blue Chair Bay White Rum,379.79999999999995,39.84202211690362
Blue Fish Sweet Rsl,329.7,43.28177130724901
Bluebird Chardonnay,431.52,66.24026696329256
Bluegray Priorat DOQ,4677.4,64.79069568563732
Bocelli Prosecco,9115.199999999999,68.55022380200106
Bocelli Sangiovese,431.76,32.40689271817677
Bodega Elena de Mendoza Mlbc,1188.3,97.19599427753934
Bodega Garzon Albarino,179.88,35.090060040026685
Bodega Noemia D Patagonia 13,5747.7,56.53304800180942
Bodegas Jeromin Zesto Rosada,575.52,65.51292743953294
Bodegas Numanthia Termes,1559.35,58.22041235130022
Bodini Malbec Mendoza,837.3,60.67120506389585
Boen Pnt Nr RRV,3898.7,50.55967373739965
Bolgheri Ornellaia Le Serre,669.9,48.3863263173608
Bolla Merlot,7946.28,66.34462918497712
Bolla Prosecco 2 Pk,158.21999999999997,13.386423966628733
Bolla Prosecco 3pk/187mls,2773.15,97.01711050610318
Bolla Soave,4015.19,64.01664678383838
Bolla Torr'Alta Veronese Ros,2487.69,51.4730533145207
Bolla Valpo Ripasso Cls Sup,1199.04,67.43895116092874
Bollinger R.D. 2002,6439.77,79.8449323500684
Bollini RSV Pinot Grigio,431.73,41.90813703008825
Bols Amaretto Liqueur,9365.029999999999,68.99106618753589
Bols Anisette,3006.9900000000002,55.45711824781593
Bols Apricot Flavored Brand,1208.9,57.36206468690545
Bols Blackberry Brandy,1066.03,59.931709238952
Bols Brown Creme de Cacao,3626.37,58.70250415704962
Bols Butterscotch,589.41,58.568738229755176
Bols Cherry Flavored Brandy,4714.71,64.37617584114399
Bols Creme De Noyaux,2097.9,55.25620858954192
Bols Creme de Banana,4575.42,62.73675422147038
Bols Creme de Cassis,3496.5,64.53024453024454
Bols Genever Amsterdam,296.91,55.55892357953589
Bols Ginger Brandy,146.86,37.900040855236284
Bols Green Creme De Menthe,8931.06,61.15914572290412
Bols Lychee,249.75,59.6956956956957
Bols Maraschino Liqueur,402.15000000000003,56.036304861370134
Bols Melon Liqueur,1558.44,69.55031955031956
Bols Peach Flavored Brandy,4483.92,57.46065942300487
Bols Peppermint Schnapps,2497.5,66.83723723723723
Bols Pomegranate Liqueur,873.08,73.61753791176066
Bols Sloe Gin,2537.46,64.31155565013833
Bols Strawberry Liqueur,3006.9900000000002,66.77341793620865
Bols White Creme De Cacao,7152.84,54.87163140794426
Bols White Creme De Menthe,369.63,48.299651002353706
Bols Yogurt Liqueur,3637.2,82.8087539865831
Bonal Apertif,113.94,67.7461822011585
Bongiovanni Barolo,5748.85,24.480896179235845
Bongiovanni Dolceo D'Alba,1529.1,90.99077888954287
Bonny Doon Clos de Gilroy Rd,1409.1,70.87502661273153
Bonny Doon Pousseur Syrah,3678.3999999999996,41.33998477598955
Bonpas Blanc Rhone Vly,4484.43,62.546410580608914
Bonpas Ch du Pape Rouge Rsv,9933.66,75.25403526998105
Bonterra Pnt Nr,1946.74,70.44905842588122
Boones Sangria,747.5,63.62274247491639
Boones Strawberry Hill,3510.26,61.81080603715965
Booth's Cask Mellowed Gin,7126.38,87.4668485261802
Borealis Northern Whites,3077.7999999999997,59.48274741698616
Bota Box Rsl,4047.83,63.04983163818639
Bota Brick Cab Svgn,785.24,64.16382252559727
Bota Brick Chard,527.49,59.597338338167546
Bota Brick Pnt Grigio,729.3000000000001,56.16618675442206
Bota Mini Merlot,517.3199999999999,56.15866388308978
Bota Mini Moscato,1072.96,54.22662541008052
Bota Mini RedVolution,1173.39,60.79053000281236
